LA,Footfall in high streets and town centres,Number of community sport and physical activity offerings,Number of registered charity volunteers,Percentage of adults (16+) reporting that people in neighbourhood pull together to improve the neighbourhood,Percentage of adults (16+) reporting that if they needed help there are people who would be there for them,Number of registered charities,Number of community interest companies (CICs),Internal migration,Personal wellbeing,Percentage of adults (16+) reporting that they felt lonely often or always,International migration,Percentage of adults (16+) reporting that they belong very or fairly strongly to London,Index of Local Area Belonging,Gentrification – change in occupational classes,Income inequality,Percentage of adults (16+) reporting taking part in formal volunteering at least once in the last year,Number of food banks,Number of food bank parcels delivered,Proportion of electoral registrations,Ballots cast in borough council elections 2022,Percentage of adults (16+) agreeing that they personally can influence decisions affecting their local area,Percentage of adults (16+) treated unfairly in the last 12 months because of one or several protected characteristics or because of their social class,Percentage of adults (16+) digitally excluded,Percentage of adults (16+) who have engaged in some form of civic participation at least once in the last 12 months,Percentage of adults (16+) who have engaged in civic consultation at least once in the last 12 months,Number and proximity of libraries,"Not in education, employment or training (NEET)/not known proportion for age 16-17","Percentage of pupils meeting the Key Stage 2 (KS2) expected standard in reading, writing and maths (gap in disadvantage status)",Students achieving GCSE A* to C English and Maths (%),Percent of newly born enterprises surviving 1 year,Registered charity expenditure,Local authority (LA) core spending power,Jobs density,Public transport access levels (PTALs),Passive green space,Number and proximity of community centres,Number and proximity of cultural spaces,Healthy Streets score,Number of faith centres,Recorded crime
Hillingdon,0.4289977749,412,7097,49.92148874,90.65993995,286,79,51275,7.5175,7.159621116,18331,0.7799726397,3.463356399,6.334448981,1.469728601,25.81566023,10,17900,0.8208379115,70556,29.18353575,0.3181635327,0.07968231204,32.66984555,16.17614489,17,5.6,25,53.3,93.19248826,62,250.2787508,1.09,2,0.4132776471,27,627,1.5,84,24421
Hounslow,0.470756153,220,3882,52.48137051,87.54531979,272,99,44267,7.35,8.151545689,17734,0.7223853272,3.575768661,3.182379227,1.800458716,24.07773614,,,0.8547196799,64856,26.9109506,0.3653960425,0.04792897747,29.57132865,19.19778525,11,5.6,17,55,92.8,44,250.9353744,0.92,2,0.3486133333,21,704,4.1,87,22706
Islington,0.7001661664,141,27547,50.13102459,93.90458084,463,526,55493,6.99,5.631557934,17649,0.8616656422,3.454741102,4.418996835,1.733615222,29.16456614,2,8459,0.7655628136,53377,23.30595563,0.3843167686,0.04105661556,44.53726624,28.97399219,10,4.5,18,51.3,92.63301501,225,315.7253739,1.7,5,0.3375626984,60,1554,7.53,75,25685
Kensington and Chelsea,0.7713668794,78,5839,53.42570408,93.69919659,280,157,26322,7.1675,6.20663197,14011,0.8820258602,3.483137396,0.3830811668,2.158767773,26.18556698,1,6032,0.7625693614,31621,24.02939697,0.3861698168,0.08325207102,40.43749103,25.42942715,7,3.6,24,62.2,94,94,216.3285488,1.56,5,0.2632782178,18,1613,5.1,75,19433
Kingston upon Thames,0.6409530961,283,5261,64.69865625,93.90378296,220,61,28262,7.1825,4.39233556,7497,0.6508374708,3.68159281,6.736646538,1.462745098,31.07222902,6,11446,0.8896512592,53839,29.72667052,0.3482503756,0.03736590456,37.86088628,26.48492018,7,1.9,34,70.4,90.16393443,68,169.3050904,0.84,2,0.4242353535,14,273,3.9,53,8915
Lambeth,0.6156872626,199,35148,51.73038043,91.56679385,515,403,77038,7.3575,6.149987026,15894,0.8434743614,3.499945512,6.291213939,2.002207506,30.42820735,9,27473,0.8421987296,71925,26.76937618,0.4152080535,0.05108959459,44.26649751,25.84163833,9,4.1,18,43.8,93.80053908,211,403.152013,0.8,4,0.3225895028,55,1427,6,114,33536
Lewisham,0.5613954747,146,6029,50.09280407,92.45548709,348,274,55623,7.19,6.260776988,11550,0.7698390708,3.579468926,8.533797428,1.62004662,30.19072531,7,25049,0.8467181973,67616,31.03037151,0.3736919068,0.06989934146,44.15633844,23.60129926,12,7.8,21,45.6,92.78996865,85,354.763756,0.45,3,0.371556,11,641,4.6,105,26046
Merton,0.5927368616,198,6106,54.98495905,91.95515508,241,121,39022,7.18,7.57440536,8193,0.7794918917,3.512976962,4.916339286,1.8,30.86522619,5,6972,0.8964809716,61083,29.11177911,0.3618224925,0.03326173479,40.58644014,22.25095824,7,1.9,20,55.1,92.35880399,55,196.5626368,0.62,2,0.3782666667,11,378,4.6,74,11510
Newham,0.5241806432,177,9530,39.18954183,89.48837986,360,283,66132,8.0325,8.970572549,34404,0.8146425417,3.494781316,9.4859174,1.661835749,32.13630908,4,3631,0.8193919415,65397,26.78294533,0.414125159,0.04542785652,35.10843195,24.39106096,10,3.7,9,56.4,90.60869565,86,367.0733602,0.63,3,0.2681972973,18,290,5.2,103,34493
Redbridge,0.4242856816,234,4852,52.62725998,90.2499423,293,151,49899,7.505,6.343431501,16870,0.8510092764,3.634437651,2.39195626,1.674672489,28.0766029,4,16771,0.8828118716,70098,30.96128669,0.4032531214,0.03550301443,35.58557276,18.47019607,13,3.1,19,64.5,93.00970874,63,269.1009977,0.47,2,0.3480640244,7,214,2.5,106,21238
Richmond upon Thames,0.4630358822,339,9553,69.95318297,96.54797659,303,96,30597,7.135,4.833678194,5935,0.8723276883,3.636775055,5.049150079,1.602836879,37.70859003,6,5233,0.9116886373,66555,27.96478796,0.2787630067,0.09173504406,43.72667207,29.09746489,13,1.9,30,66.6,94.09594096,65,208.0790498,0.81,2,0.4249365217,11,1027,4.6,86,10142
Southwark,0.566525369,257,14494,48.243859,95.87622864,470,402,65877,6.9825,6.136272673,21336,0.7923065061,3.469061727,8.02653221,2.158139535,29.75698999,5,9211,0.8198413158,74014,24.37924098,0.4105969516,0.02821771072,42.18422333,26.91213165,12,2.6,14,56.1,92.17603912,170,411.2986193,1.47,4,0.3174618497,30,1461,6.4,121,33970
Sutton,0.4105444922,125,9690,51.67132271,94.77286783,239,52,27045,7.2975,5.140218163,4816,0.7406996553,3.521738288,7.81109593,1.605263158,25.90076033,3,4177,0.9707986141,61453,25.45042648,0.2786327919,0.06856525653,32.62011549,15.08164764,8,2.2,30,68,93.75,56,203.2725442,0.79,2,0.4369178862,10,274,1.9,60,11121
Tower Hamlets,0.6047862112,218,29639,45.60083845,92.27648459,463,341,68878,7.0575,7.974332495,28165,0.7950737282,3.331227253,5.67957307,2.137168142,27.56948543,6,12012.33333,0.7770595791,85854,27.48667533,0.3926539597,0.03971600607,37.98265777,22.08081757,8,3.6,11,51.6,92.17221135,204,390.8798774,1.35,5,0.2270420118,44,1414,6,83,31076
Waltham Forest,0.5439465622,202,3666,58.70512203,95.11548308,269,211,45323,7.03,9.239118972,11602,0.8732398225,3.607304943,11.23118121,1.428571429,29.32413245,2,13134.33333,0.8934579527,63324,27.70544414,0.3535016265,0.03667969542,45.47806846,29.42911368,10,2.1,13,45.2,91.56626506,45,293.9081573,0.49,2,0.333389726,32,286,5.6,107,21907
Wandsworth,0.5690218653,315,19392,50.65782086,97.46788938,302,152,80135,7.19,5.732823732,14600,0.8097247024,3.602707184,5.643234317,2.778920308,30.03674688,8,10800,0.8208879808,93157,28.62021236,0.3424949121,0.03424206997,45.61291666,23.963276,11,3.5,22,59.1,94.19191919,140,264.7855214,0.63,3,0.3250107527,34,574,5.6,120,21797
Westminster,0.6698723403,192,16841,46.80488268,96.04656752,530,606,41735,6.8825,7.356256121,24337,0.7973190692,3.43032389,1.198298248,2.106382979,29.69256163,1,1762,0.7263850293,42678,31.81037115,0.2581257188,0.00771253542,35.12091524,26.52102702,11,3.3,16,61.3,93.34862385,471,288.2828511,5.45,6a,0.2263487805,34,5084,6,108,81755
